id,image,class,original_class,score,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,gps_lat,gps_lon,camera_lat,camera_lon,camera_heading,deep_analyzed,local_analyzed,local_confidence
1,ladybug_panoramic_1010.jpg,light pole,,0.9336,6654,2813,6915,4005,261,1192,45.054185,9.706926,45.054100,9.707151,325.4,false,false,
2,ladybug_panoramic_1010.jpg,light pole,,0.9297,1181,2786,1470,4006,289,1219,45.053921,9.707172,45.054100,9.707151,325.4,false,false,
3,ladybug_panoramic_1010.jpg,light pole,,0.9219,4162,3330,4237,3892,74,562,45.054010,9.706931,45.054100,9.707151,325.4,false,false,
4,ladybug_panoramic_1010.jpg,light pole,,0.8945,447,3556,559,4009,111,452,45.053935,9.707251,45.054100,9.707151,325.4,false,false,
5,ladybug_panoramic_1010.jpg,light pole,,0.8945,7509,3506,7618,4002,109,495,45.054229,9.706973,45.054100,9.707151,325.4,false,false,
6,ladybug_panoramic_1010.jpg,light pole,,0.8750,11023,3449,11072,4003,49,554,45.054249,9.707293,45.054100,9.707151,325.4,false,false,
7,ladybug_panoramic_1010.jpg,light pole,,0.8711,7776,3683,7843,4003,67,320,45.054240,9.706991,45.054100,9.707151,325.4,false,false,
8,ladybug_panoramic_1010.jpg,light pole,,0.8281,225,3816,276,3953,51,136,45.053943,9.707274,45.054100,9.707151,325.4,false,false,
9,ladybug_panoramic_1010.jpg,light pole,,0.8242,2708,3764,2752,3998,44,233,45.053940,9.707036,45.054100,9.707151,325.4,false,false,
10,ladybug_panoramic_1010.jpg,light pole,,0.8125,969,3703,1001,3995,31,292,45.053925,9.707206,45.054100,9.707151,325.4,false,false,
11,ladybug_panoramic_1010.jpg,manhole,,0.8984,8990,4710,9192,4779,201,69,45.054172,9.707133,45.054100,9.707151,325.4,false,false,
12,ladybug_panoramic_1010.jpg,manhole,,0.8594,8458,4417,8585,4446,126,29,45.054222,9.707078,45.054100,9.707151,325.4,false,false,
13,ladybug_panoramic_1010.jpg,manhole,,0.8047,675,4560,940,4615,264,55,45.054010,9.707188,45.054100,9.707151,325.4,false,false,
14,ladybug_panoramic_1010.jpg,manhole,,0.6875,373,4218,474,4234,100,15,45.053861,9.707309,45.054100,9.707151,325.4,false,false,
